Genus,Species,Abundance,ID,Date,Transect,Site
Acropora,Acropora digitifera,1,254,2/2/2005,2,South and Palfrey
Acropora,Acropora nasuta,18,254,2/2/2005,2,South and Palfrey
Acropora,Acropora valida,7,254,2/2/2005,2,South and Palfrey
Acropora,Acropora secale,4,254,2/2/2005,2,South and Palfrey
Acropora,Acropora muricata,3,254,2/2/2005,2,South and Palfrey
Acropora,Acropora tenuis,2,254,2/2/2005,2,South and Palfrey
Acropora,Acropora yongei,1,254,2/2/2005,2,South and Palfrey
Acropora,Acropora millepora,2,254,2/2/2005,2,South and Palfrey
Acropora,Acropora spathulata,3,254,2/2/2005,2,South and Palfrey
Acropora,Acropora sarmentosa,1,254,2/2/2005,2,South and Palfrey
Acropora,Acropora hyacinthus,27,254,2/2/2005,2,South and Palfrey
Acropora,Acropora loripes,1,254,2/2/2005,2,South and Palfrey
Acropora,Acropora cuneata,12,254,2/2/2005,2,South and Palfrey
Acropora,Acropora florida,1,254,2/2/2005,2,South and Palfrey
Acropora,Acropora latistella,1,254,2/2/2005,2,South and Palfrey
Montipora,Montipora crassituberculata,1,254,2/2/2005,2,South and Palfrey
Montipora,Montipora monasteriata,1,254,2/2/2005,2,South and Palfrey
Montipora,Montipora grisea,3,254,2/2/2005,2,South and Palfrey
Montipora,Montipora caliculata,1,254,2/2/2005,2,South and Palfrey
Montipora,Montipora hispida,1,254,2/2/2005,2,South and Palfrey
Seriatopora,Seriatopora hystrix,2,254,2/2/2005,2,South and Palfrey
Pocillopora,Pocillopora damicornis,13,254,2/2/2005,2,South and Palfrey
Stylophora,Stylophora pistillata,5,254,2/2/2005,2,South and Palfrey
Galaxea,Galaxea fascicularis,5,254,2/2/2005,2,South and Palfrey
Coscinaraea,Coscinaraea exesa,1,254,2/2/2005,2,South and Palfrey
Hydnophora,Hydnophora rigida,1,254,2/2/2005,2,South and Palfrey
Acanthastrea,Acanthastrea echinata,1,254,2/2/2005,2,South and Palfrey
Favia,Favia stelligera,1,254,2/2/2005,2,South and Palfrey
Favia,Favia pallida,1,254,2/2/2005,2,South and Palfrey
Acropora,Acropora humilis,4,255,2/2/2005,3,South and Palfrey
Acropora,Acropora gemmifera,1,255,2/2/2005,3,South and Palfrey
Acropora,Acropora fat dig,13,255,2/2/2005,3,South and Palfrey
Acropora,Acropora digitifera,1,255,2/2/2005,3,South and Palfrey
Acropora,Acropora nasuta,10,255,2/2/2005,3,South and Palfrey
Acropora,Acropora valida,14,255,2/2/2005,3,South and Palfrey
Acropora,Acropora lutkeni,2,255,2/2/2005,3,South and Palfrey
Acropora,Acropora muricata,2,255,2/2/2005,3,South and Palfrey
Acropora,Acropora intermedia,3,255,2/2/2005,3,South and Palfrey
Acropora,Acropora tenuis,1,255,2/2/2005,3,South and Palfrey
Acropora,Acropora millepora,1,255,2/2/2005,3,South and Palfrey
Acropora,Acropora spathulata,1,255,2/2/2005,3,South and Palfrey
Acropora,Acropora sarmentosa,1,255,2/2/2005,3,South and Palfrey
Acropora,Acropora hyacinthus,18,255,2/2/2005,3,South and Palfrey
Acropora,Acropora cuneata,10,255,2/2/2005,3,South and Palfrey
Acropora,Acropora latistella,1,255,2/2/2005,3,South and Palfrey
Acropora,Acropora florida,1,255,2/2/2005,3,South and Palfrey
Montipora,Montipora crassituberculata,1,255,2/2/2005,3,South and Palfrey
Montipora,Montipora monasteriata,1,255,2/2/2005,3,South and Palfrey
Montipora,Montipora grisea,3,255,2/2/2005,3,South and Palfrey
Pocillopora,Pocillopora damicornis,15,255,2/2/2005,3,South and Palfrey
Pocillopora,Pocillopora verrucosa,3,255,2/2/2005,3,South and Palfrey
Pocillopora,Pocillopora eydouxi,1,255,2/2/2005,3,South and Palfrey
Galaxea,Galaxea fascicularis,3,255,2/2/2005,3,South and Palfrey
Hydnophora,Hydnophora exesa,2,255,2/2/2005,3,South and Palfrey
Hydnophora,Hydnophora microconos,2,255,2/2/2005,3,South and Palfrey
Symphyllia,Symphyllia recta,1,255,2/2/2005,3,South and Palfrey
Favia,Favia pallida,2,255,2/2/2005,3,South and Palfrey
Favites,Favites halicora,3,255,2/2/2005,3,South and Palfrey
Favites,Favites abdita,5,255,2/2/2005,3,South and Palfrey
Goniastrea,Goniastrea retiformis,8,255,2/2/2005,3,South and Palfrey
Goniastrea,Goniastrea aspera,1,255,2/2/2005,3,South and Palfrey
Platygyra,Platygyra sinensis,1,255,2/2/2005,3,South and Palfrey
Platygyra,Platygyra daedalea,5,255,2/2/2005,3,South and Palfrey
Leptoria,Leptoria phrygia,2,255,2/2/2005,3,South and Palfrey
Montastrea,Montastrea curta,1,255,2/2/2005,3,South and Palfrey
Cyphastrea,Cyphastrea microphthalma,1,255,2/2/2005,3,South and Palfrey
Cyphastrea,Cyphastrea chalcidicum,1,255,2/2/2005,3,South and Palfrey
Echinopora,Echinopora lamellosa,1,255,2/2/2005,3,South and Palfrey
Porites,Porites massive,26,255,2/2/2005,3,South and Palfrey
Acropora,Acropora humilis,5,256,2/2/2005,4,South and Palfrey
Acropora,Acropora gemmifera,4,256,2/2/2005,4,South and Palfrey
Acropora,Acropora fat dig,23,256,2/2/2005,4,South and Palfrey
Acropora,Acropora monticulosa,1,256,2/2/2005,4,South and Palfrey
Acropora,Acropora digitifera,5,256,2/2/2005,4,South and Palfrey
Acropora,Acropora nasuta,6,256,2/2/2005,4,South and Palfrey
Acropora,Acropora valida,8,256,2/2/2005,4,South and Palfrey
Acropora,Acropora lutkeni,1,256,2/2/2005,4,South and Palfrey
Acropora,Acropora muricata,4,256,2/2/2005,4,South and Palfrey
Acropora,Acropora intermedia,5,256,2/2/2005,4,South and Palfrey
Acropora,Acropora millepora,1,256,2/2/2005,4,South and Palfrey
Acropora,Acropora spathulata,4,256,2/2/2005,4,South and Palfrey
Acropora,Acropora sarmentosa,1,256,2/2/2005,4,South and Palfrey
Acropora,Acropora hyacinthus,14,256,2/2/2005,4,South and Palfrey
Acropora,Acropora palifera,1,256,2/2/2005,4,South and Palfrey
Acropora,Acropora cuneata,22,256,2/2/2005,4,South and Palfrey
Montipora,Montipora crassituberculata,1,256,2/2/2005,4,South and Palfrey
Montipora,Montipora monasteriata,2,256,2/2/2005,4,South and Palfrey
Montipora,Montipora grisea,2,256,2/2/2005,4,South and Palfrey
Montipora,Montipora foveolata,1,256,2/2/2005,4,South and Palfrey
Pocillopora,Pocillopora damicornis,14,256,2/2/2005,4,South and Palfrey
Hydnophora,Hydnophora microconos,1,256,2/2/2005,4,South and Palfrey
Symphyllia,Symphyllia radians,2,256,2/2/2005,4,South and Palfrey
Symphyllia,Symphyllia recta,2,256,2/2/2005,4,South and Palfrey
Favia,Favia stelligera,1,256,2/2/2005,4,South and Palfrey
Favia,Favia matthaii,1,256,2/2/2005,4,South and Palfrey
Favia,Favia pallida,2,256,2/2/2005,4,South and Palfrey
Favites,Favites halicora,7,256,2/2/2005,4,South and Palfrey
Favites,Favites abdita,5,256,2/2/2005,4,South and Palfrey
Favites,Favites flexuosa,3,256,2/2/2005,4,South and Palfrey
Goniastrea,Goniastrea edwardsi,1,256,2/2/2005,4,South and Palfrey
Goniastrea,Goniastrea retiformis,21,256,2/2/2005,4,South and Palfrey
Goniastrea,Goniastrea aspera,1,256,2/2/2005,4,South and Palfrey
Platygyra,Platygyra pini,2,256,2/2/2005,4,South and Palfrey
Platygyra,Platygyra daedalea,3,256,2/2/2005,4,South and Palfrey
Leptoria,Leptoria phrygia,3,256,2/2/2005,4,South and Palfrey
Montastrea,Montastrea curta,1,256,2/2/2005,4,South and Palfrey
Cyphastrea,Cyphastrea microphthalma,2,256,2/2/2005,4,South and Palfrey
Echinopora,Echinopora gemmacea,1,256,2/2/2005,4,South and Palfrey
Cyphastrea,Cyphastrea chalcidicum,1,256,2/2/2005,4,South and Palfrey
Montastrea,Montastrea magnistellata,1,256,2/2/2005,4,South and Palfrey
Porites,Porites massive,13,256,2/2/2005,4,South and Palfrey
Acropora,Acropora humilis,3,261,2/3/2005,1,South and Palfrey
Acropora,Acropora gemmifera,4,261,2/3/2005,1,South and Palfrey
Acropora,Acropora fat dig,20,261,2/3/2005,1,South and Palfrey
Acropora,Acropora monticulosa,1,261,2/3/2005,1,South and Palfrey
Acropora,Acropora digitifera,5,261,2/3/2005,1,South and Palfrey
Acropora,Acropora nasuta,8,261,2/3/2005,1,South and Palfrey
Acropora,Acropora valida,11,261,2/3/2005,1,South and Palfrey
Acropora,Acropora lutkeni,1,261,2/3/2005,1,South and Palfrey
Acropora,Acropora muricata,5,261,2/3/2005,1,South and Palfrey
Acropora,Acropora intermedia,2,261,2/3/2005,1,South and Palfrey
Acropora,Acropora yongei,1,261,2/3/2005,1,South and Palfrey
Acropora,Acropora millepora,1,261,2/3/2005,1,South and Palfrey
Acropora,Acropora spathulata,1,261,2/3/2005,1,South and Palfrey
Acropora,Acropora hyacinthus,9,261,2/3/2005,1,South and Palfrey
Acropora,Acropora cuneata,19,261,2/3/2005,1,South and Palfrey
Acropora,Acropora florida,1,261,2/3/2005,1,South and Palfrey
Montipora,Montipora monasteriata,2,261,2/3/2005,1,South and Palfrey
Montipora,Montipora grisea,3,261,2/3/2005,1,South and Palfrey
Montipora,Montipora caliculata,2,261,2/3/2005,1,South and Palfrey
Pocillopora,Pocillopora damicornis,14,261,2/3/2005,1,South and Palfrey
Hydnophora,Hydnophora exesa,1,261,2/3/2005,1,South and Palfrey
Hydnophora,Hydnophora microconos,3,261,2/3/2005,1,South and Palfrey
Symphyllia,Symphyllia radians,2,261,2/3/2005,1,South and Palfrey
Favia,Favia stelligera,1,261,2/3/2005,1,South and Palfrey
Favites,Favites halicora,8,261,2/3/2005,1,South and Palfrey
Favites,Favites abdita,9,261,2/3/2005,1,South and Palfrey
Favites,Favites flexuosa,7,261,2/3/2005,1,South and Palfrey
Goniastrea,Goniastrea retiformis,25,261,2/3/2005,1,South and Palfrey
Goniastrea,Goniastrea aspera,2,261,2/3/2005,1,South and Palfrey
Platygyra,Platygyra pini,2,261,2/3/2005,1,South and Palfrey
Platygyra,Platygyra sinensis,1,261,2/3/2005,1,South and Palfrey
Platygyra,Platygyra daedalea,3,261,2/3/2005,1,South and Palfrey
Leptoria,Leptoria phrygia,1,261,2/3/2005,1,South and Palfrey
Montastrea,Montastrea curta,3,261,2/3/2005,1,South and Palfrey
Cyphastrea,Cyphastrea serailia,1,261,2/3/2005,1,South and Palfrey
Cyphastrea,Cyphastrea microphthalma,1,261,2/3/2005,1,South and Palfrey
Cyphastrea,Cyphastrea chalcidicum,2,261,2/3/2005,1,South and Palfrey
Pavona,Pavona varians,1,261,2/3/2005,1,South and Palfrey
Porites,Porites massive,18,261,2/3/2005,1,South and Palfrey
Acropora,Acropora gemmifera,3,262,2/3/2005,2,South and Palfrey
Acropora,Acropora fat dig,12,262,2/3/2005,2,South and Palfrey
Acropora,Acropora monticulosa,2,262,2/3/2005,2,South and Palfrey
Acropora,Acropora digitifera,2,262,2/3/2005,2,South and Palfrey
Acropora,Acropora nasuta,8,262,2/3/2005,2,South and Palfrey
Acropora,Acropora valida,9,262,2/3/2005,2,South and Palfrey
Acropora,Acropora secale,1,262,2/3/2005,2,South and Palfrey
Acropora,Acropora muricata,1,262,2/3/2005,2,South and Palfrey
Acropora,Acropora intermedia,1,262,2/3/2005,2,South and Palfrey
Acropora,Acropora tenuis,3,262,2/3/2005,2,South and Palfrey
Acropora,Acropora yongei,2,262,2/3/2005,2,South and Palfrey
Acropora,Acropora millepora,1,262,2/3/2005,2,South and Palfrey
Acropora,Acropora spathulata,2,262,2/3/2005,2,South and Palfrey
Acropora,Acropora hyacinthus,9,262,2/3/2005,2,South and Palfrey
Acropora,Acropora cuneata,11,262,2/3/2005,2,South and Palfrey
Montipora,Montipora monasteriata,3,262,2/3/2005,2,South and Palfrey
Montipora,Montipora grisea,1,262,2/3/2005,2,South and Palfrey
Montipora,Montipora caliculata,1,262,2/3/2005,2,South and Palfrey
Pocillopora,Pocillopora damicornis,10,262,2/3/2005,2,South and Palfrey
Pocillopora,Pocillopora verrucosa,3,262,2/3/2005,2,South and Palfrey
Galaxea,Galaxea fascicularis,1,262,2/3/2005,2,South and Palfrey
Hydnophora,Hydnophora microconos,4,262,2/3/2005,2,South and Palfrey
Favia,Favia stelligera,1,262,2/3/2005,2,South and Palfrey
Favites,Favites halicora,2,262,2/3/2005,2,South and Palfrey
Favites,Favites abdita,2,262,2/3/2005,2,South and Palfrey
Favites,Favites flexuosa,3,262,2/3/2005,2,South and Palfrey
Goniastrea,Goniastrea edwardsi,1,262,2/3/2005,2,South and Palfrey
Goniastrea,Goniastrea retiformis,12,262,2/3/2005,2,South and Palfrey
Goniastrea,Goniastrea aspera,1,262,2/3/2005,2,South and Palfrey
Platygyra,Platygyra daedalea,7,262,2/3/2005,2,South and Palfrey
Leptoria,Leptoria phrygia,1,262,2/3/2005,2,South and Palfrey
Montastrea,Montastrea curta,1,262,2/3/2005,2,South and Palfrey
Echinopora,Echinopora lamellosa,1,262,2/3/2005,2,South and Palfrey
Montastrea,Montastrea valenciennesi,1,262,2/3/2005,2,South and Palfrey
Porites,Porites massive,14,262,2/3/2005,2,South and Palfrey
Acropora,Acropora humilis,2,263,2/3/2005,3,South and Palfrey
Acropora,Acropora gemmifera,2,263,2/3/2005,3,South and Palfrey
Acropora,Acropora fat dig,13,263,2/3/2005,3,South and Palfrey
Acropora,Acropora nasuta,1,263,2/3/2005,3,South and Palfrey
Acropora,Acropora valida,12,263,2/3/2005,3,South and Palfrey
Acropora,Acropora lutkeni,1,263,2/3/2005,3,South and Palfrey
Acropora,Acropora muricata,3,263,2/3/2005,3,South and Palfrey
Acropora,Acropora intermedia,2,263,2/3/2005,3,South and Palfrey
Acropora,Acropora tenuis,1,263,2/3/2005,3,South and Palfrey
Acropora,Acropora yongei,1,263,2/3/2005,3,South and Palfrey
Acropora,Acropora millepora,1,263,2/3/2005,3,South and Palfrey
Acropora,Acropora spathulata,2,263,2/3/2005,3,South and Palfrey
Acropora,Acropora hyacinthus,13,263,2/3/2005,3,South and Palfrey
Acropora,Acropora cuneata,20,263,2/3/2005,3,South and Palfrey
Montipora,Montipora monasteriata,1,263,2/3/2005,3,South and Palfrey
Montipora,Montipora grisea,3,263,2/3/2005,3,South and Palfrey
Montipora,Montipora caliculata,1,263,2/3/2005,3,South and Palfrey
Pocillopora,Pocillopora damicornis,13,263,2/3/2005,3,South and Palfrey
Pocillopora,Pocillopora verrucosa,3,263,2/3/2005,3,South and Palfrey
Galaxea,Galaxea fascicularis,1,263,2/3/2005,3,South and Palfrey
Coscinaraea,Coscinaraea exesa,1,263,2/3/2005,3,South and Palfrey
Hydnophora,Hydnophora exesa,1,263,2/3/2005,3,South and Palfrey
Hydnophora,Hydnophora microconos,1,263,2/3/2005,3,South and Palfrey
Symphyllia,Symphyllia radians,2,263,2/3/2005,3,South and Palfrey
Favia,Favia matthaii,1,263,2/3/2005,3,South and Palfrey
Favia,Favia pallida,1,263,2/3/2005,3,South and Palfrey
Favites,Favites halicora,6,263,2/3/2005,3,South and Palfrey
Favites,Favites abdita,2,263,2/3/2005,3,South and Palfrey
Favites,Favites flexuosa,1,263,2/3/2005,3,South and Palfrey
Goniastrea,Goniastrea retiformis,17,263,2/3/2005,3,South and Palfrey
Goniastrea,Goniastrea aspera,4,263,2/3/2005,3,South and Palfrey
Platygyra,Platygyra daedalea,6,263,2/3/2005,3,South and Palfrey
Leptoria,Leptoria phrygia,3,263,2/3/2005,3,South and Palfrey
Leptastrea,Leptastrea transversa,2,263,2/3/2005,3,South and Palfrey
Cyphastrea,Cyphastrea serailia,1,263,2/3/2005,3,South and Palfrey
Montastrea,Montastrea magnistellata,1,263,2/3/2005,3,South and Palfrey
Porites,Porites massive,10,263,2/3/2005,3,South and Palfrey
Acropora,Acropora humilis,3,264,2/3/2005,4,South and Palfrey
Acropora,Acropora gemmifera,2,264,2/3/2005,4,South and Palfrey
Acropora,Acropora fat dig,9,264,2/3/2005,4,South and Palfrey
Acropora,Acropora nasuta,18,264,2/3/2005,4,South and Palfrey
Acropora,Acropora lutkeni,1,264,2/3/2005,4,South and Palfrey
Acropora,Acropora muricata,5,264,2/3/2005,4,South and Palfrey
Acropora,Acropora tenuis,4,264,2/3/2005,4,South and Palfrey
Acropora,Acropora spathulata,4,264,2/3/2005,4,South and Palfrey
Acropora,Acropora hyacinthus,17,264,2/3/2005,4,South and Palfrey
Acropora,Acropora cuneata,17,264,2/3/2005,4,South and Palfrey
Montipora,Montipora monasteriata,1,264,2/3/2005,4,South and Palfrey
Montipora,Montipora grisea,3,264,2/3/2005,4,South and Palfrey
Montipora,Montipora caliculata,1,264,2/3/2005,4,South and Palfrey
Seriatopora,Seriatopora hystrix,2,264,2/3/2005,4,South and Palfrey
Pocillopora,Pocillopora damicornis,15,264,2/3/2005,4,South and Palfrey
Pocillopora,Pocillopora verrucosa,2,264,2/3/2005,4,South and Palfrey
Pocillopora,Pocillopora eydouxi,1,264,2/3/2005,4,South and Palfrey
Galaxea,Galaxea fascicularis,3,264,2/3/2005,4,South and Palfrey
Hydnophora,Hydnophora exesa,1,264,2/3/2005,4,South and Palfrey
Psammocora,Psammocora digitata,1,264,2/3/2005,4,South and Palfrey
Symphyllia,Symphyllia radians,2,264,2/3/2005,4,South and Palfrey
Favia,Favia matthaii,1,264,2/3/2005,4,South and Palfrey
Faviia,Favia pallida,1,264,2/3/2005,4,South and Palfrey
Favites,Favites halicora,4,264,2/3/2005,4,South and Palfrey
Favites,Favites abdita,7,264,2/3/2005,4,South and Palfrey
Goniastrea,Goniastrea retiformis,16,264,2/3/2005,4,South and Palfrey
Goniastrea,Goniastrea aspera,1,264,2/3/2005,4,South and Palfrey
Platygyra,Platygyra pini,1,264,2/3/2005,4,South and Palfrey
Platygyra,Platygyra daedalea,3,264,2/3/2005,4,South and Palfrey
Leptoria,Leptoria phrygia,2,264,2/3/2005,4,South and Palfrey
Montastrea,Montastrea curta,1,264,2/3/2005,4,South and Palfrey
Leptastrea,Leptastrea purpurea,1,264,2/3/2005,4,South and Palfrey
Leptastrea,Leptastrea transversa,1,264,2/3/2005,4,South and Palfrey
Echinopora,Echinopora lamellosa,1,264,2/3/2005,4,South and Palfrey
Porites,Porites massive,20,264,2/3/2005,4,South and Palfrey
Acropora,Acropora humilis,4,265,2/3/2005,5,South and Palfrey
Acropora,Acropora gemmifera,7,265,2/3/2005,5,South and Palfrey
Acropora,Acropora fat dig,17,265,2/3/2005,5,South and Palfrey
Acropora,Acropora digitifera,1,265,2/3/2005,5,South and Palfrey
Acropora,Acropora nasuta,8,265,2/3/2005,5,South and Palfrey
Acropora,Acropora valida,13,265,2/3/2005,5,South and Palfrey
Acropora,Acropora muricata,1,265,2/3/2005,5,South and Palfrey
Acropora,Acropora intermedia,1,265,2/3/2005,5,South and Palfrey
Acropora,Acropora spathulata,1,265,2/3/2005,5,South and Palfrey
Acropora,Acropora hyacinthus,17,265,2/3/2005,5,South and Palfrey
Acropora,Acropora cuneata,26,265,2/3/2005,5,South and Palfrey
Acropora,Acropora elseyi,1,265,2/3/2005,5,South and Palfrey
Astreopora,Astreopora myriophthalma,1,265,2/3/2005,5,South and Palfrey
Montipora,Montipora crassituberculata,1,265,2/3/2005,5,South and Palfrey
Montipora,Montipora monasteriata,4,265,2/3/2005,5,South and Palfrey
Pocillopora,Pocillopora damicornis,13,265,2/3/2005,5,South and Palfrey
Pocillopora,Pocillopora verrucosa,2,265,2/3/2005,5,South and Palfrey
Pocillopora,Pocillopora eydouxi,2,265,2/3/2005,5,South and Palfrey
Acanthastrea,Acanthastrea echinata,1,265,2/3/2005,5,South and Palfrey
Favia,Favia lizardensis,1,265,2/3/2005,5,South and Palfrey
Favia,Favia matthaii,1,265,2/3/2005,5,South and Palfrey
Favia,Favia pallida,4,265,2/3/2005,5,South and Palfrey
Favites,Favites halicora,5,265,2/3/2005,5,South and Palfrey
Favites,Favites abdita,7,265,2/3/2005,5,South and Palfrey
Favites,Favites flexuosa,2,265,2/3/2005,5,South and Palfrey
Goniastrea,Goniastrea retiformis,7,265,2/3/2005,5,South and Palfrey
Goniastrea,Goniastrea aspera,1,265,2/3/2005,5,South and Palfrey
Platygyra,Platygyra pini,2,265,2/3/2005,5,South and Palfrey
Platygyra,Platygyra daedalea,2,265,2/3/2005,5,South and Palfrey
Leptoria,Leptoria phrygia,2,265,2/3/2005,5,South and Palfrey
Montastrea,Montastrea curta,2,265,2/3/2005,5,South and Palfrey
Leptastrea,Leptastrea transversa,1,265,2/3/2005,5,South and Palfrey
Porites,Porites massive,16,265,2/3/2005,5,South and Palfrey
Symphyllia,Symphyllia radians,2,266,2/3/2005,6,South and Palfrey
Symphyllia,Symphyllia agaricia,1,266,2/3/2005,6,South and Palfrey
Favites,Favites pentagona,1,266,2/3/2005,6,South and Palfrey
Favites,Favites halicora,1,266,2/3/2005,6,South and Palfrey
Favites,Favites abdita,2,266,2/3/2005,6,South and Palfrey
Goniastrea,Goniastrea retiformis,6,266,2/3/2005,6,South and Palfrey
Goniastrea,Goniastrea aspera,1,266,2/3/2005,6,South and Palfrey
Platygyra,Platygyra sinensis,2,266,2/3/2005,6,South and Palfrey
Platygyra,Platygyra daedalea,2,266,2/3/2005,6,South and Palfrey
Leptoria,Leptoria phrygia,1,266,2/3/2005,6,South and Palfrey
Leptastrea,Leptastrea purpurea,1,266,2/3/2005,6,South and Palfrey
Porites,Porites massive,7,266,2/3/2005,6,South and Palfrey
Acropora,Acropora gemmifera,4,266,2/3/2005,6,South and Palfrey
Acropora,Acropora fat dig,12,266,2/3/2005,6,South and Palfrey
Acropora,Acropora digitifera,1,266,2/3/2005,6,South and Palfrey
Acropora,Acropora nasuta,6,266,2/3/2005,6,South and Palfrey
Acropora,Acropora valida,14,266,2/3/2005,6,South and Palfrey
Acropora,Acropora lutkeni,1,266,2/3/2005,6,South and Palfrey
Acropora,Acropora intermedia,2,266,2/3/2005,6,South and Palfrey
Acropora,Acropora tenuis,1,266,2/3/2005,6,South and Palfrey
Acropora,Acropora yongei,1,266,2/3/2005,6,South and Palfrey
Acropora,Acropora spathulata,2,266,2/3/2005,6,South and Palfrey
Acropora,Acropora hyacinthus,12,266,2/3/2005,6,South and Palfrey
Acropora,Acropora cuneata,8,266,2/3/2005,6,South and Palfrey
Astreopora,Astreopora myriophthalma,1,266,2/3/2005,6,South and Palfrey
Montipora,Montipora grisea,3,266,2/3/2005,6,South and Palfrey
Montipora,Montipora efflorescens,1,266,2/3/2005,6,South and Palfrey
Pocillopora,Pocillopora damicornis,8,266,2/3/2005,6,South and Palfrey
Pocillopora,Pocillopora verrucosa,2,266,2/3/2005,6,South and Palfrey
Pocillopora,Pocillopora eydouxi,3,266,2/3/2005,6,South and Palfrey
Acropora,Acropora humilis,1,283,2/4/2005,1,South and Palfrey
Acropora,Acropora gemmifera,1,283,2/4/2005,1,South and Palfrey
Acropora,Acropora fat dig,11,283,2/4/2005,1,South and Palfrey
Acropora,Acropora monticulosa,1,283,2/4/2005,1,South and Palfrey
Acropora,Acropora nasuta,10,283,2/4/2005,1,South and Palfrey
Acropora,Acropora valida,7,283,2/4/2005,1,South and Palfrey
Acropora,Acropora robusta,1,283,2/4/2005,1,South and Palfrey
Acropora,Acropora tenuis,2,283,2/4/2005,1,South and Palfrey
Acropora,Acropora spathulata,5,283,2/4/2005,1,South and Palfrey
Acropora,Acropora hyacinthus,17,283,2/4/2005,1,South and Palfrey
Acropora,Acropora cuneata,21,283,2/4/2005,1,South and Palfrey
Astreopora,Astreopora myriophthalma,1,283,2/4/2005,1,South and Palfrey
Montipora,Montipora monasteriata,2,283,2/4/2005,1,South and Palfrey
Montipora,Montipora grisea,1,283,2/4/2005,1,South and Palfrey
Pocillopora,Pocillopora damicornis,11,283,2/4/2005,1,South and Palfrey
Pocillopora,Pocillopora verrucosa,4,283,2/4/2005,1,South and Palfrey
Pocillopora,Pocillopora eydouxi,1,283,2/4/2005,1,South and Palfrey
Galaxea,Galaxea fascicularis,1,283,2/4/2005,1,South and Palfrey
Hydnophora,Hydnophora microconos,2,283,2/4/2005,1,South and Palfrey
Symphyllia,Symphyllia radians,1,283,2/4/2005,1,South and Palfrey
Acanthastrea,Acanthastrea echinata,1,283,2/4/2005,1,South and Palfrey
Favia,Favia stelligera,1,283,2/4/2005,1,South and Palfrey
Favia,Favia pallida,1,283,2/4/2005,1,South and Palfrey
Favites,Favites halicora,9,283,2/4/2005,1,South and Palfrey
Favites,Favites abdita,2,283,2/4/2005,1,South and Palfrey
Favites,Favites flexuosa,2,283,2/4/2005,1,South and Palfrey
Goniastrea,Goniastrea retiformis,7,283,2/4/2005,1,South and Palfrey
Platygyra,Platygyra sinensis,2,283,2/4/2005,1,South and Palfrey
Platygyra,Platygyra daedalea,8,283,2/4/2005,1,South and Palfrey
Montastrea,Montastrea annuligera,2,283,2/4/2005,1,South and Palfrey
Cyphastrea,Cyphastrea microphthalma,1,283,2/4/2005,1,South and Palfrey
Echinopora,Echinopora gemmacea,1,283,2/4/2005,1,South and Palfrey
Porites,Porites massive,20,283,2/4/2005,1,South and Palfrey
Acropora,Acropora humilis,2,284,2/4/2005,2,South and Palfrey
Acropora,Acropora gemmifera,3,284,2/4/2005,2,South and Palfrey
Acropora,Acropora fat dig,13,284,2/4/2005,2,South and Palfrey
Acropora,Acropora nasuta,4,284,2/4/2005,2,South and Palfrey
Acropora,Acropora valida,10,284,2/4/2005,2,South and Palfrey
Acropora,Acropora muricata,1,284,2/4/2005,2,South and Palfrey
Acropora,Acropora robusta,1,284,2/4/2005,2,South and Palfrey
Acropora,Acropora tenuis,1,284,2/4/2005,2,South and Palfrey
Acropora,Acropora spathulata,4,284,2/4/2005,2,South and Palfrey
Acropora,Acropora hyacinthus,14,284,2/4/2005,2,South and Palfrey
Acropora,Acropora cuneata,15,284,2/4/2005,2,South and Palfrey
Acropora,Acropora austera,1,284,2/4/2005,2,South and Palfrey
Astreopora,Astreopora myriophthalma,1,284,2/4/2005,2,South and Palfrey
Montipora,Montipora crassituberculata,1,284,2/4/2005,2,South and Palfrey
Montipora,Montipora caliculata,1,284,2/4/2005,2,South and Palfrey
Pocillopora,Pocillopora damicornis,11,284,2/4/2005,2,South and Palfrey
Pocillopora,Pocillopora verrucosa,1,284,2/4/2005,2,South and Palfrey
Pocillopora,Pocillopora eydouxi,4,284,2/4/2005,2,South and Palfrey
Hydnophora,Hydnophora microconos,1,284,2/4/2005,2,South and Palfrey
Symphyllia,Symphyllia radians,2,284,2/4/2005,2,South and Palfrey
Favia,Favia matthaii,1,284,2/4/2005,2,South and Palfrey
Favia,Favia pallida,7,284,2/4/2005,2,South and Palfrey
Favites,Favites pentagona,1,284,2/4/2005,2,South and Palfrey
Favites,Favites halicora,5,284,2/4/2005,2,South and Palfrey
Favites,Favites abdita,4,284,2/4/2005,2,South and Palfrey
Favites,Favites flexuosa,2,284,2/4/2005,2,South and Palfrey
Goniastrea,Goniastrea retiformis,7,284,2/4/2005,2,South and Palfrey
Platygyra,Platygyra pini,1,284,2/4/2005,2,South and Palfrey
Platygyra,Platygyra daedalea,2,284,2/4/2005,2,South and Palfrey
Platygyra,Platygyra lamellina,1,284,2/4/2005,2,South and Palfrey
Leptoria,Leptoria phrygia,1,284,2/4/2005,2,South and Palfrey
Montastrea,Montastrea curta,1,284,2/4/2005,2,South and Palfrey
Montastrea,Montastrea annuligera,2,284,2/4/2005,2,South and Palfrey
Leptastrea,Leptastrea purpurea,2,284,2/4/2005,2,South and Palfrey
Cyphastrea,Cyphastrea microphthalma,1,284,2/4/2005,2,South and Palfrey
Echinopora,Echinopora gemmacea,1,284,2/4/2005,2,South and Palfrey
Pavona,Pavona venosa,1,284,2/4/2005,2,South and Palfrey
